Trip Request Time,Create Ticket Time,City,Country,Product Name,Locale,Modality
2024-11-02 07:47:52,2024-11-02 08:07:25,Los Angeles,US,UberX,en_US,messaging
2024-11-02 07:47:52,2024-11-02 08:06:48,Los Angeles,US,UberX,en_US,chat
"",2024-10-31 00:01:14,Los Angeles,US,,en_US,chat
"",2024-10-31 00:01:04,Los Angeles,US,,en_US,phone
"",2024-10-30 23:58:12,Los Angeles,US,,en_US,messaging
"",2024-10-25 07:27:02,Los Angeles,US,,en_US,chat
2024-10-25 07:23:39,2024-10-25 07:25:59,Los Angeles,US,UberX,en_US,chat
"",2024-10-13 13:53:22,Los Angeles,US,,en_US,chat
"",2024-10-13 13:52:52,Los Angeles,US,,en_US,chat
2024-10-04 09:04:06,2024-10-04 09:37:13,Los Angeles,US,UberX,en_US,messaging
2024-10-04 09:04:06,2024-10-04 09:28:09,Los Angeles,US,UberX,en_US,chat
"",2024-10-03 11:25:41,Los Angeles,US,,en_US,chat
"",2024-10-01 19:11:30,Los Angeles,US,,en_US,chat
2024-09-17 07:46:54,2024-09-17 09:29:35,Los Angeles,US,UberX,en_US,messaging
2024-09-17 07:46:54,2024-09-17 08:38:25,Los Angeles,US,UberX,en_US,messaging
2024-08-30 09:21:05,2024-08-30 09:41:20,Los Angeles,US,UberX,en_US,chat
2024-08-30 09:21:05,2024-08-30 09:39:45,Los Angeles,US,UberX,en_US,chat
2024-08-06 03:33:57,2024-08-06 04:16:17,Los Angeles,US,UberX,en_US,messaging
2024-08-06 03:33:57,2024-08-06 04:15:34,Los Angeles,US,UberX,en_US,chat
2024-07-13 07:10:43,2024-07-13 08:42:51,Los Angeles,US,UberX,en_US,chat
2024-07-06 07:03:24,2024-07-06 08:02:48,Los Angeles,US,UberX,en_US,messaging
2024-07-06 07:03:24,2024-07-06 08:01:57,Los Angeles,US,UberX,en_US,chat
2024-07-06 07:03:24,2024-07-06 07:56:02,Los Angeles,US,UberX,en,messaging
2024-06-09 09:47:19,2024-06-09 10:09:25,Los Angeles,US,UberX,en,messaging
"",2024-05-29 23:14:46,Los Angeles,US,,en_US,messaging
"",2024-05-28 22:50:38,Los Angeles,US,,en_US,messaging
"",2022-08-04 02:03:47,Los Angeles,US,,en_US,phone
"",2022-08-04 02:00:16,Los Angeles,US,,en_US,phone
"",2022-08-04 01:57:06,Los Angeles,US,,en_US,phone
"",2022-01-12 08:12:27,unknown,US,,en_US,phone
2021-12-11 05:05:05,2021-12-11 05:48:14,Los Angeles,US,UberEATS Marketplace (order),en_US,chat
"",2021-11-13 23:55:55,unknown,US,,en_US,phone
"",2021-08-21 22:39:06,unknown,US,,en_US,phone
"",2021-08-03 22:57:17,unknown,US,,en_US,phone
"",2021-08-01 14:03:05,unknown,US,,en_US,phone
"",2021-07-14 20:21:10,Los Angeles,US,,en_US,in_person
"",2021-07-13 00:07:05,unknown,US,,en_US,phone
"",2021-06-10 16:15:04,Los Angeles,US,,en_US,messaging
